"Company Name",Address,Place,Zip,Sector,Product,Website,Region
"BP Purui New Energy Co",,"Xi'an, Shanxi Province, China",710021,Solar,"China Xinjiang Sunoasis and BP Solar are planning a joint venture which will be called BP New Energy Co, and will focus on their combined solar expertise.",,
"BP Solar",,"Frederick, Maryland",21703,Solar,"Maryland-based subsidiary of BP Alternative Energy dealing with solar power.",http://www.bp.com/genericcountryjump.do?categoryId=9070&contentId=7038143,
"BP SunOasis Co Ltd",,"Xi'an, Shaanxi Province, China",710016,Solar,"Solar module manufacturer.",,
BSL-Solar,"NO.217 Chang Ma Road","Guangdong, China",,Solar,"Solar Energy Products",http://www.bsl-solar.com/,
"Bakhu Holdings Corp",,"Moscow, Russian Federation",105523,"Services,Solar","Russia-based gold extraction services company. The firm also produces solar PV wafers and other solar products.",,
"Balloon Eólica","Rua Barão de Campinas, 713
Campos Elíseos","Brazil,São Paulo, São Paulo",01201-001,"Efficiency,Renewable Energy,Services,Solar,Wind energy",,http://www.balloonenergia.com.br,
"Bandgap Engineering Inc","6 Gill Street","Woburn, Massachusetts",01801,Solar,"Developing high efficiency solar cells",http://www.bandgap.com/,"Greater Boston Area"
"Baoding Tianwei Solarfilms Co Ltd",,"Baoding, Hebei Province, China",,Solar,"A China-based amorphous silicon thin-film solar module producer.",,
"Baotou Shansheng New Energy Co Ltd",,China,,Solar,"The company supplies silicon PV cell, and devleops solar PV power project, in Baotou, Inner Mongolia.",,
"Barlovento Natural Resources",,"Logrono, Spain",26005,"Solar,Wind energy","Technical consulting in the wind and solar energy sector.",,
"Barrett Energy Resources Group","Box 1004, 1596 Main St","Concord, Massachusetts,United States",01742,"Marine Energy,Renewable Energy,Solar,Wind energy",,https://www.barrettenergygroup.com/,
"Battery Resourcers","54 Rockdale St","Worcester, Massachusetts,United States",01606,Solar,,https://www.batteryresourcers.com,
"Bauer Solarenergie GmbH",,"Selzen, Lower Saxony, Germany",55278,Solar,"Selzen-based manufacturer of solar components including junction boxes, modules and inverters.",,
"BayWa Group",,"Munich, Germany",81925,"Services,Solar","Germany-based company with international operations specialised in wholesale and retail and in providing services. The company is also active in the biofuel and solar sectors.",,
"BayWa Sunways JV",,Germany,,Solar,"Germany-based JV that specialises in developing, planning and realizing medium-sized to large photovoltaic systems and solar plants.",,
"Bayer Raach GmbH",,"Gauingen, Baden-WÃ¼rttemberg, Germany",88529,Solar,"German-based solar installation company.",,
"Bazhou Deli Solar Energy Heating Co Ltd aka Deli Solar PRC",,"Beijing, Beijing Municipality, China",65700,"Biomass,Solar","Seller of solar thermal water heating systems, PV-powered lamps and small-scale biomass space heating devices.",,
"Beacon Power Corp",,"Tyngsboro, Massachusetts",1879,Solar,"US-based developer of solar PV inverters and flywheel-based energy storage systems.",,
"Becancour Silicon Inc BSI",,"St. Laurent, Quebec, Canada",H4M2M4,Solar,"Canadian supplier of silicon metal for the electronics, chemical and aluminium industries and solar grade silicon (5N) for the solar industry.",,
"Beck Energy GmbH",,"Volkach-Dimbach, Germany",97332,Solar,"Germany-based turnkey PV plant installer,offers solar power investment programmes.",,
Becosolar,,"Dartmouth, United Kingdom",,Solar,"Becosolar was established in 1980 and has been Solarex / BP Solar UK Distributors since 1989. They specialise in PV systems, manufacturing controllers and building custom PV power supplies for industrial, commercial & domestic uses.",,
"Bee Cool Inc",,"North Ferrisburg, Vermont","Vt 05473",Solar,"Producer of polysilicon solar panels and solar trackers, and solar battery chargers.",,
"Beijing Corona Science Technology Co Ltd BCST",,"Beijing Municipality, China",100083,"Solar,Wind energy","Provide turnkey contract service for the design, installation and building of wind farm and solar PV station,it also manufacture controlling system and key equipments for wind and PV power station.",,
"Beijing Eastwest Electronics Technology Ltd",,"Beijing, Beijing Municipality, China",100029,"Solar,Wind energy","Dedicated to the design, installation, development and maintaince of solar PV and wind power generating systems.",,
"Beijing Four Seasons Solar Power Technology Co Ltd",,"Beijing, Beijing Municipality, China",,Solar,"Company involved in selling solar power equipment in China.",,
"Beijing Hope Solar New Energy Co Ltd formerly known as Beijing Hope Solar Power or Beijing Hope Ind",,"Beijing Municipality, China",100022,Solar,"A specialized enterprise that mainly involved in the production of solar module, design , production ,installation of solar power system and relative products .",,
"Beijing International New Energy Co Ltd",,"Beijing, Beijing Municipality, China",100055,"Biomass,Hydropower,Solar,Wind energy","The company engaged in developing solar, wind, mini-hydro, biomass and nuclear electricity.",,
"Beijing Sevenstar Electronics Co Ltd",,"Beijing Municipality, China",100016,Solar,"China-based Solar PV ingot puller manufacturer.",,
"Beijing Sijimicoe Solar Energy",,"Beijing, China",102200,Solar,"Beijing-based solar water heating systems provider.",,
"Beijing Sky Solar Investment Management Co",,"Beijing, China",,Solar,"Beijing based company with focus on developing, financing and managing solar projects.",,
"Beijing Solar Energy Research Institute BSERI",,"Beijing, Beijing Municipality, China",100083,Solar,"Founded in 1979, this institute is known as one of the biggest solar energy R&D institutions in China.",,
"Beijing Solar Fengli Technology Ltd",,"Beijing Municipality, China",100083,"Efficiency,Solar,Wind energy","A company engaged in manufacturing Solar PV power, wind power and energy efficiency products.",,
"Beijing Sunda Solar Energy Technology Co Ltd",,"Beijing, Beijing Municipality, China",100083,Solar,"Manufacturer of solar thermal water systems, for customers to install themselves.",,
"Beijing Sunpu Solar PV Technology Co Ltd",,"Beijing, Beijing Municipality, China",100083,Solar,"Manufacturers of PV-powered street lights, inverters and other solar PV systems.",,
"Beijing Tsinghua Solar Company",,"Beijing, Beijing Municipality, China",100085,Solar,"Backed up by Tsinghua University, the company is engaged in producing all-glass vacuum solar collecting tubes and small and large scale solar water heaters with proprietary technologies.",,
"Beijing Zhongneng United Renewable Energy Investment Co Ltd",,"Beijing Municipality, China",,"Hydropower,Renewable Energy,Solar,Wind energy","A renewable power projects developer in China, mainly focused on wind, hydro and solar power.",,
"Belectric Solar India Pvt Ltd",,"Secunderabad, Andhra Pradesh, India","500 015",Solar,"India-based firm formed to set up grid connected solar projects.",,
"Bella Energy formely Sun Electric Systems",,"Lafayette, Colorado",80026,Solar,"Solar electric company which offers residential and commercial solar power to customers in Colorado both on and off the grid.",,
"Bengal Aerotropolis Projects Ltd",,"Kolkata, West Bengal, India",700017,Solar,"Kolkata-based aerotropolis projects specialist company. The firm is planning to set up a solar equipment manufacturing hub.",,
"Benicia Makerspace","4592 East Second St., Benicia, CA 94510","Benicia, California,United States",94510,"Renewable Energy,Services,Solar",,https://beniciamakerspace.org/,
"Berger Lichttechnik GmbH Co KG",,"Baierbrunn, Germany",D-82065,Solar,"German manufacturer of solar simulators and measuring systems.",,
"Bernt Lorentz GmbH Co KG",,"Henstedt-Ulzburg, Germany",D-24558,Solar,"German manufacturer of solar tracking devices, water pumps, and related electronic and hydraulic components.",,
"Best Solar Co Ltd",,"Suzhou, Jiangsu Province, China",,Solar,"Thin-film solar startup Best Solar was set up by LDK CEO Xiaofeng Peng.",,
Betasol,,Spain,,Solar,"Spanish developer of solar PV projects.",,
"Bethel Energy LLC",,"Cardiff, California",92007,Solar,"Solar thermal electricity generation (STEG) project developer, to use parabolic trough design with syngas made from biofuel as a backup fuel.",,
"Bharat Electronics Limited BEL",,"Bangalore, India",560015,Solar,"Major supplier of products and turnkey systems with expertise in solar products and systems, defence communication, radars & sensors, telecommunication, broadcasting equipments, e-governance networks and other components.",,
"Bharat Heavy Electricals Ltd BHEL",,"New Delhi, Delhi (NCT), India",110049,"Biomass,Hydropower,Renewable Energy,Solar,Wind energy","Delhi-based power generation equipment manufacturer in the energy-related/infrastructure sector. The firm is also involved in renewable energy sector- small hydro, solar, biomass and wind.",,
"Bharat Petroleum Corporation Ltd BPCL",,"Mumbai, Maharashtra, India",,"Solar,Wind energy","Mumbai-based company, majority owned by the government and involved in the storing, marketing and distribution of petroleum products. Also involved with the development of wind and solar PV projects.",,
"Big China Solar Energy Group","8-306, Dingtaifenghua Community,Qianhai Road, Nanshan District","Guangdong, China",,Solar,"Solar Energy Products",http://www.bigchinasolar.cn/,
"Bihar State Electronics Development Corporation Ltd Beltron",,"Patna, Bihar, India",800023,"Services,Solar","Manufactures solar lanterns and other PV systems, as part of a business involving other electronic and computer goods and services.",,
"BizLink Technology",,"Fremont, California",94538,Solar,"California-based manufacturer of solar modules, junction boxes, connectors and wires.",,
Blight-to-Bright,,"Mount Vernon, Ohio",,Solar,,http://blight2bright.com/index.htm,
"Bloo Solar formerly Q1 Nanosystems",,"West Sacramento, California",95691,Solar,"Bloo Solar is based in West Sacremento, California, and is developing the â€œBloo Solar Brushâ€, which it says is a â€œnano-structured ultra thin film PV productâ€ which â€œuses billions of vertically grown nano cables to improve the photovoltaic process.â€",,
"Bloo Solar, Inc","2545 Boatman Avenue","West Sacramento, CA",95691,Solar,,http://www.bloosolar.com,"Bay Area"
"Blue Crane Holdings Pvt Ltd",,"Mumbai, Maharashtra, India",400023,"Efficiency,Solar,Wind energy","Mumbai-based firm involved in development of clean energy projects with main focus on solar, wind and energy efficiency.",,
"Blue Green Capital",,Spain,8860,"Renewable Energy,Solar","Spanish developer of large-scale renewable energy assets with focused on solar electricity generation in new market such as Spain, France, Israel and Greece. Their Esperanza Foundation serves to capture and manage some of the extra profitability from their projects.",,
"Blue Oak Energy","4614 Second Street","Davis, California",95618,Solar,"photovoltaics, design and engineering, feasibility studies, turn-key installation, system maintenance, PV products",http://www.blueoakenergy.com,"Bay Area"
"Blue Pacific Energy LLC","1192 Hooilina Place","Haiku, Hawaii,United States",96708,"Renewable Energy,Solar,Wind energy","Distributed Wind Installation",,
"Blue Peter Project Group Inc",,"Oakville, Ontario, Canada","L6M 2B8",Solar,"Alternative energy project developer in Canada, specifically solar thermal systems.",,
"Blue Planet Solar",,"Antwerp, Belgium",B-2060,"Services,Solar","Belgium-based firm that offers installation, operating, developing and investment services for solar projects.",,
"BlueChip Energy",,"Lake Mary, Florida",32746,Solar,"Florida-based utility-scale solar project developer.",,
"BlueJays Holdings LLC","4820 Montague Ave","Fremont, California,United States",94555,"Batteries and Storage,Solar,Buildings",,https://energy-management.constantcontactsites.com/,
"BlueSol Solar Energy",,"Sao Paulo, Sao Paulo, Brazil",04551-060,Solar,"Sao Paulo-based sole distributor of Suntech solar products in Brazil.",,
"Bluefield Partners LLP",,"London, United Kingdom",,Solar,"London-based private equity firm focusing on the acquisition and management of solar energy assets in Europe.",,
"Bluenergia Srl",,"Palermo, Italy",90143,Solar,"Italy-based project developer, that owns a 1MW solar power plant in Mesagne.",,
"Bogoroditsk Plant of Technochemical Products BTCP",,"Russian Federation",301801,Solar,"BTCP is a high technology company established to pursue the production of electronic components and solar initiatives.",,
"Bold Alternatives","2708 Dryden Road","Shaker Heights, Ohio",44122,"Solar,Wind energy","Consulting,Energy provider: power production,Engineering/architectural/design,Installation,Maintenance and repair,Retail product sales and distribution,Trainining and education",http://www.BoldAlternatives.com,
"Boreal Renewable Energy",,"Acton, Massachusetts",1720,"Hydropower,Renewable Energy,Solar,Wind energy","Renewable Energy Development implements land-based wind, solar, hydroelectric, and other renewable energy projects from inception to commissioning and beyond.",,
"Boreal Renewable Energy Development",,"Arlington, Massachusetts",,"Solar,Wind",,http://www.Boreal-Renewable.com,"Greater Boston Area"
"Borrego Solar","2560 9th Street","Berkeley, California",94710,Solar,"Design and install solar systems",http://www.borregosolar.com/,"Bay Area"
"Borrego Solar (Massachusetts)","205 Industrial Avenue East","Lowell, Massachusetts",01852,Solar,"Design and install solar systems",http://www.borregosolar.com/,"Greater Boston Area"
"Bos ten AG",,"Regensburg-Westenviertel, Germany",93049,Solar,"Partner of Beck Energy in development of a 3.2MW solar PV plant.",,
"Bottomline Energy Solutions LLC","2229 Apsley Blvd","Toledo, Ohio",43617,"Buildings,Efficiency,Geothermal energy,Solar,Wind energy","Consulting,Energy audits/weatherization,Energy provider: wholesale,Installation,Investment/finances,Retail product sales and distribution,Trainining and education",http://www.bottomlinees.com,
"Brackish Groundwater National Desalination Research Facility","500 Lavelle Road","Alamogordo, New Mexico,United States",88310,"Solar,Gateway:Water Power",,https://www.usbr.gov/research/bgndrf/,
"Bright Eye Solar, LLC","1200 Corporate Blvd #16","Lancaster, Pennsylvania,United States",17601,Solar,"Residential Solar Panel Installations, Commercial Solar Panel Installations",https://brighteyesolar.com,
"BrightPhase Energy","8035 East 40th Avenue","Denver, Colorado",80207,Solar,"Combination PV and day-lighting modules for commerical buildings",http://www.brightphaseenergy.com/,"Rockies Area"
"BrightPhase Energy Inc formerly Solar Focus",,"Fletcher, North Carolina",28732,Solar,"Solar Focus develops thermal and electric reflecting concentrator systems for water heating and electricity generation.",,
BrightSource,"1999 Harrison Street","Oakland, California",94612,Solar,"CSP developer",http://www.brightsourceenergy.com/,"Bay Area"
"BrightSource Energy",,"Oakland, California",94612,Solar,"California-based company that develops, builds, owns, and operates large scale solar plants. These solar plants deliver solar energy to industrial and utility companies.",,
"Bruns Heiztechnik",,"Saterland, Lower Saxony, Germany","D 26683","Biofuels,Solar","Saterland-based, steel boiler manufacturer. Bruns Heiztechnik is currently researching new technologies in the solar, fuel cell and biofuels sectors.",,
"Buckeye Silicon","2600 Dorr Street - Suite 1070","Toledo, Ohio",43606,"Renewable Energy,Services,Solar","Consulting,Manufacturing,Raw materials/extraction,Refining,Research and development",http://www.sphereenergy.net,
"Budasolar Technologies",,"Budapest, Hungary","H - 1121",Solar,"BudaSolar is a developer of thin film technologies and manufacturing equipment headquartered in Budapest, Hungary.",,
"Buffalo Renewables","9620 Transit Road, Suite B","United States,Buffalo, New York",14051,"Renewable Energy,Solar,Wind energy","Distributed Wind Installation",http://buffalorenewables.green/,
"Building Momentum","5380 Eisenhower Avenue, Suite C  Alexandria, VA 22304","Alexandria, Virginia,United States",22304,"Services,Solar",,https://buildingmomentum.us/,
"Bull Solar GmbH Bull Holding AG",,"North Rhine-Westphalia, Germany",,Solar,"German solar installer.",,
"Bundesverband Solarwirtschaft e V BSW",,"Berlin, Germany",10243,Solar,"German lobby group to promote solar power.",,
"Burrington s Solar Edge",,"Windsor Locks, Connecticut",6096,"Services,Solar","The company sells, installs and maintains solar photovoltaic equipment, in addition to providing consulting, site analysis and project planning services across Connecticut.",,
C-Voltaics,"3575 Cullen Blvd, 617 Science and Research Building 1,","Houston, Texas",77204-5005,Solar,"Novel manufacturing process for solar cells with initial focus on OPV",http://www.c-voltaics.com,"Texas Area"
"CA Solar LLC","34195 Soto Dr, Union City, CA 94587","Union City, California,United States",94587,Solar,,https://www.casolarco.com/,
CAERO,,"Zurich, Switzerland",6300,"Renewable Energy,Solar","Switzerland-based company developing renewable energy projects that present sustainable investment opportunities. It is currently focused on developing solar energy projects in Europe.",,
"CEEG NanJing New Energy",,"Jiangsu Province, China",,"Services,Solar","Shanghai-based PV module manufacturer integrates services including the research, development, production, sales of polysilicon solar panel",,
"CEEG Shanghai Solar Science Technology",,"Shanghai Municipality, China",200335,"Services,Solar","Shanghai-based PV module manufacturer integrates services including the research, development, production, sales of polysilicon solar panel",,
"CETC Solar Energy","1025 Xinkaipu Road, Tianxin District","Changsha, Hunan",410111,Solar,"Solar energy manufacturing equipment, solar cells & PV modules",http://www.cetcsolarenergy.com/,
"CH2 Contorhaus Hansestadt Hamburg",,"Hamburg, Germany",20457,Solar,"Germany-based firm that sets up closed-end funds for investor-capital market products and projects, including solar.",,
"CHINT Solar Co Ltd aka Astronergy",,"Hangzhou, Zhejiang Province, China",310052,Solar,"A subsidiary company of CHINT Group, producing multicrystalline and monocrystalline solar cells, modules, thin-film solar cells and PV application products.",,
"CIM Group Inc",,"Los Angeles, California",90028,Solar,"Los Angeles-based real estate fund manager. The company has purchased a solar project portfolio which they will develop through a newly formed subsidiary also called SKyPower.",,
"CIMx Software","1001 Ford Circle","Milford, Ohio",45150,"Renewable Energy,Services,Solar,Wind energy","Consulting,Manufacturing,Research and development,Trainining and education,Other:Green Factories",http://www.cimx.com,
"CIS Solartechnik GmbH Co KG",,"Bremen, Bremen, Germany",28066,Solar,"The Norddeutsche Affinerie and the Cordes & Graefe KG formed a joint venture in order to develop the CIS solar cells.",,
"CMC Magnetics Corporation",,"Taipei, Taiwan",,Solar,"A Taiwanese compact disk manufacturer who has set up a solar cell unit.",,
"CMC/ BMC Utility Products","3501 Symmes Road","Hamilton, Ohio",45015,"Services,Solar,Wind energy","Installation,Maintenance and repair,Manufacturing",http://www.cmclugs.com,
"CN Solar Co Ltd",,"Sangju, North Gyeongsang, Korea (Republic)",,Solar,"Korean solar project developer.",,
"CREATIVE ELECTRO POWER","kazipara mirpur",Dhaka,1216,Solar,"IPS ,CONTROLLER, Solar panel,",http://www.smmbd.com,"Southern CA Area"
"CSE Solar Energy","rua belem do para","Campinas, São Paulo,Brazil",13034-165,"Bioenergy,Efficiency,Renewable Energy,Services,Solar,Wind energy","Inversores, Modulos Fotovoltaicos, Serviços",http://www.csesolarenergy.com.br,
"CSG Solar AG",,"Thalheim, Saxony-Anhalt, Germany",6766,Solar,"Manufacture of solar modules based on Crystalline Silicon on Glass (CSG) technology",,
"CSolar Energia Solar Fotovoltaica","Avenida Américo de Carvalho, 173","Sorocaba, SP,Brazil",18045-000,Solar,"paineis solares,micro inverosres,sistemas residenciais e comerciais,fotovoltaico,empresa de energia solar,apsystems,solaredge,sistema de energia solar fotovoltaica,orçamento energia solar,CSolar Energia Fotovoltaica",https://csolar.com.br,
"CTC Solar",,,,Solar,"US-based solar project developer.",,
"CVD Equipment Corp",,"Ronkonkoma, New York",11779,Solar,"New York-based maker of chemical vapour deposition process equipment. This equipment is used in the manufacture of solar and semiconductor fabrication.",,
"Cadmus Group","100 Fifth Avenue, Suite 100
Waltham, MA 02451","Waltham, Massachusetts,United States",02451,"Renewable Energy,Solar",,http://cadmusgroup.com,
"Cagayan Electric Power and Light Co Cepalco",,Philippines,,Solar,"Provides electricity to Cagayan de Oro City. Has developed a 1MW solar power plant.",,
"Caithness Energy LLC",,"New York, New York",10017,"Geothermal energy,Renewable Energy,Solar,Wind energy","Caithness Energy is a renewable energy project developer, plant owner and investor focusing on geothermal, wind and solar power.",,
"Caldyne Automatics Limited",,"West Bengal, India","700 091","Solar,Wind energy","Kolkata-based power storage product manufacturer,also makes lighting systems based on solar, wind and solar wind hybrid systems.",,
"Calea Energies Renouvelables",,France,,"Geothermal energy,Solar","France-based developer, installer and financier of distributed solar and geothermal systems.",,
"California Institute of Technology Caltech","1200 EAST CALIFORNIA BOULEVARD, PASADENA, CALIFORNIA 91125","Pasadena, California,United States",91125,"Renewable Energy,Solar","An institute of higher learning tha investigates the most challenging, fundamental problems in science and technology.",https://www.caltech.edu/,
"California Solar Energy Industries Association",,"Rio Vista, California",94571,Solar,"California Solar Energy Industries Association is a trade group representing the interests of California's solar industry.",,
"California State University CSU",,"Los Angeles, California",90802-4210,Solar,"One of the largest higher education institutions in California, CSU is a power purchaser of electricity generated by solar PV installations located at 2 of their 23 campuses.",,
"Calyxo USA Solar Fields LLC",,"Perrysburg, Ohio",43551,Solar,"Producer of cadmium telluride photovoltaic modules. Q-Cells acquired Solar Fields IP and assets which have been transferred into the US branch of Q-Cells subsidiary Calyxo GmbH",,
"Campo 3 SL",,"Ciudad Real, Spain",13170,Solar,"Solar PV and solar thermal project developer, also involved in environmental consulting.",,
"Camstar Systems Inc",,"Charlotte, North Carolina",28217,Solar,"North Carolina-based manufacturing equipment supplier in industries include electronics, semiconductors, biotech and solar.",,
"Canadian Solar Inc CSI",,"Kitchener, Ontario, Canada","N2K 3S2",Solar,"Canada-incorporated, China-based manufacturer of solar cells and modules,also has some silicon recycling activities and makes UMG Si-based modules.",,
"Canadian Solar Japan KK",,"Shinjuku-ku, Tokyo, Japan",160-0022,Solar,"Tokyo-based subsidiary of Canadian Solar, producing solar equipment.",,
"Canberra Centre for Sustainable Energy Systems CSES",,"Canberra, Australia","ACT 0200",Solar,"An institute for photovoltaics and solar thermal energy research, covering the spectrum from basic R&D to commercial contract research.",,
"Canergy International",,"Pasadena, California",91101,Solar,"California-based solar project developer.",,
"Canon Inc",,"Tokyo, Japan","146 8501",Solar,"Canon is an active research organisation, focusing on new technology developments such as Porous Materials, Nanostructural Materials, Polymers, CO2 Dry cleaning and solar cells.",,
"Canopener Labs","1235 Safari","San Antonio, Texas,United States",78216,Solar,,https://www.canopenerlabs.com/,
"Canrom Photovoltaics Inc",,"Niagara Falls, New York",14305,Solar,"Developer of a thin-film CdTe based solar electric module.",,
"Capital E",,"Washington, Washington, DC","DC 20003","Services,Solar","Capital E is a consulting firm which provides services such as technology evaluation and strategic marketing support for mainly fuel cell and solar power industries.",,
"Capital Energy SL",,"Madrid, Spain",28016,"Solar,Wind energy","Offshore wind farm, solar and biodiesel plant developer.",,
"Capital Solar",,"Lecce, Italy",,Solar,"Lecce-based solar project developer.",,
"Capitol Solar Energy LLC","8243 N. Pinewood Drive","Castle Rock, Colorado",80108,Solar,"PV system design, installation and maintenance",http://capitolsolarenergy.com/,"Rockies Area"
"CarbonFree Technology","1 St. Clair Ave. W., Suite 900","Canada,Toronto, Ontario","M4T 1K6",Solar,"Solar power project developer",http://carbonfree.com/,
"Cargo Power and Infrastructure Ltd",,"New Delhi, Delhi (NCT), India",110002,Solar,"Delhi-based car dealers. The firm is developing solar projects.",,
"Carl Zeiss STM AG",,"Oberkochen, Germany",73447,Solar,"Germany-based, technology developer and solutions provider for the semiconductor and nano-technology industry. Carl Zeiss through its subsidiary is invovled in the solar and fuel cells sectors.",,
"Carlson Solar",,California,,Solar,"Carlson Solar is an installer of residential and small-scale commercial photovoltaic systems.",,
"Carmanah Technologies Corporation",,"Victoria, British Columbia, Canada","V9A 3S2",Solar,"Canadian manufacturer of solar balance of systems (mounts, converters, inverters), battery chargers, and distributor of PV modules.",,
"Carolina Solar Energy CSE",,"Durham, North Carolina",27701,Solar,"Durham-based developer of solar energy projects.",,
"Case Engineering Group India",,"Uttar Pradesh, India",,"Services,Solar","Faridabad-based coal gasifiers and pollution services firm. Through its joint venture with Norasco the firm is planning to venture into solar power generation sector.",,
Cast4all,"Galileilaan 15
2845 Niel
Belgium","Belgium,Niel, 2845",,"Renewable Energy,Services,Solar","Monitoring and Control Integration Platform (MCIP)",http://www.cast4all.com,
"Castle Energy Services","8306 Ridge Rd","North Royalton, Ohio",44133,"Geothermal energy,Solar,Wind energy","Consulting,Installation,Investment/finances,Maintenance and repair,Retail product sales and distribution",http://www.castleohio.com,
"Catavento Producao de Energia Eolica Lda",,"Oeiras, Portugal","2780 920","Solar,Wind energy","Wind and solar project developer.",,
"Cavallo Energy",,"Houston, Texas",77027,"Services,Solar","Houston-based energy management, finance procurement and engineering company. The firm offers engineering services to solar projects.",,
"Cavalum sgps",,"Estarreja, Portugal","3860 680","Hydropower,Solar,Wind energy","Project developer for solar, wind and mini-hydro projects active in Portugal.",,
"Cel f Solar Systems Ltd",,"Kemsing, Kent, United Kingdom","TN15 6PL",Solar,"Installer and maintenance service provider for household PV and solar water heating systems.",,
"Celestial Power","1012 Hermitage Drive","Austin, Texas",78753,Solar,"Solar energy contractor",http://celestialpower.biz/,"Texas Area"
Cellstrom,,"Brunn am Gebirge, Austria",2345,Solar,"Austria based developer of vanadium redox flow batteries for solar plants.",,
"Cenergy Power",,"San Diego, California",92009,Solar,"Developer and installer of photovoltaic solar projects for commercial and agricultural applications.",,
"Centennial Solar Inc",,"St Laurent, Canada","H4S 1M5",Solar,"Canadian solar system installer.",,
"Central Electronics Limited CEL",,"Sahibabad, Uttar Pradesh, India",201010,Solar,"Sahibabad-based producer and marketer of solar cells and modules, ferries and peizoelectrics in India. It is a Public Sector Enterprise under the Department of Scientific and Industrial Research (DSIR), Ministry of Science & Technology, Government of India.",,
"Central Information and Business Agency CIBA",,"Lewis, Delaware",,Solar,"Developer of solar farms in Europe via its subsidiaries Chipo Energy and Chipo Building.",,
"Centro Renewables Holding Limited",,"Hong Kong",,"Solar,Wind energy","Hong Kong-based developer of wind, solar and water power facilities in China, Taiwan and South Korea.",,
"Centrotec Econcern JV",,Germany,,Solar,"Focused on the production of solar modules.",,
"Centrotec Sustainable AG",,"Brilon, Germany","D - 59929",Solar,"Provides gas flue and climate systems for low-energy houses. Centrotec has also succeeded in seizing a substantial market share of the booming solar market via its subsidiary Centrosolar.",,
"Century Asset Management",,"Sydney, New South Wales, Australia",2000,"Solar,Vehicles","Sydney based investor in solar power generation businesses and assets in Europe. Investments are structured along private equity lines. Through its investment vehicles, Century invests in portfolios of solar power assets during the development and construction phases with a view to being the long term owner and manager of the completed assets.",,
"Cetech America","# 711 Silver Birch Place","Longwood, Florida",32750,Solar,,http://www.cetechamerica.com/,
"Chandradeep Solar Pvt Ltd",,"Kolkata, West Bengal, India",700068,Solar,"Distributor of solar products, plans to set up 10MW PV modules factory.",,
"Changzhou Consol Energy Co Ltd",,"Changzhou, Jiangsu Province, China",213026,Solar,"Manufacturer and exporter of solar water heaters and small or large scale solar water system.",,
"Chengdu China Photoelectric Apollo",,"Chengdu, Sichuan Province, China",,Solar,"China-based JV research and developer of thin film solar production.",,
"Chengdu Zhongshun Science Technology Development Co Ltd",,"Chengdu, Sichuan Province, China",,Solar,"A Chinese solar company who has the technology to develop concentrator PV power project and it has its own solar tracking technology.",,
"Chesapeake Solar LLC a groSolar company",,"Jessup, Maryland",20794,Solar,"Maryland-based company that installs solar electricity and solar hot water systems, which was acquired by groSolar in July 2008.",,
"Chevron Energy Solutions","345 California Street, 18th Floor","San Francisco, California",94111,Solar,,http://www.chevronenergy.com/,"Bay Area"
"China Building Design Consultants",,"Beijing Municipality, China",,Solar,"Beijing-based architecture design, market research, and engineering company. The firm is a solar project developer.",,
"China Energy Conservation Solar Energy Technologies CECS",,China,,Solar,"China-based solar project developer and operator",,
"China Export Partners",,"Beijing, Beijing Municipality, China",100027,Solar,"A Beijing-based sourcing and quality control company. Sources photovoltaic solar modules and components in mainland China through division CEP Solar.",,
"China Glass Solar aka CG Solar formerly Weihai Bluestar Terra Photovoltaic Co Ltd",,"Weihai, Shandong Province, China",264205,Solar,"A Sino-US joint venture producing a-si thin-film solar cells",,
"China Guangdong Nuclear Solar Energy Co Ltd",,China,,Solar,"China Guangdong Nuclear's division on solar project development.",,
"China Innovation Investment Limited",,"Hong Kong",,Solar,"Hong Kong-listed alternative energy investment company. It plans to tap into solar market in China.",,
"China Lucky Film Co Ltd",,"Baoding, Hebei Province, China",71054,Solar,"China's photosensitive materials and magnetic recording media manufacturer, diversifying into solar cell backboard production.",,
"China Ordnance Equipment Group Corporation COEGC",,"Beijing Municipality, China",,"Solar,Wind energy","Chinese state-owned conglomerate that manufactures a number of products for Chinese People's Liberation Army diversifying into wind and solar equipment manufacturing.",,
"China Power International New Energy Holding Ltd",,"Shanghai Municipality, China",200052,"Biomass,Hydropower,Solar,Wind energy","A project developer in solar, wind, biomass and mini-hydro.",,
"China SC Exact Equipment Co LTD",,"Shenzhen, Guangdong Province, China",518125,Solar,"China-based Solar PV cell equipment manufacturer.",,
"China Shaanxi Yulin Huayang New Energy",,"Yulin, Shaanxi Province, China",,Solar,"China-based company that will own and operate a 92MW solar thermal power hybrid power plant in Yulin Alternative Energy Park.",,
"China Singyes Solar Technologies Holdings Ltd formerly known as Singyes Curtain Wall Engineering",,"Zhuhai, Guangdong Province, China",,Solar,"The company China Singyes is a curtain wall engineering company that has partnered with Solar Thin Films to build solar module capacity in China for the domestic BIPV market.",,
"China Solar Energy Holdings Ltd",,"Wan Chai, Hong Kong",,Solar,"Supplies turnkey manufacturing lines for the production of amorphous silicon thin-film solar cells, suitable for BIPV. Sells under the brand name 'Vetrogrid'.",,
"China Solar Energy Ltd Tianpu Xianxing Group aka Beijing Universal Antecedence",,"Beijing, Beijing Municipality, China",102612,"Buildings,Solar","Manufacturer of buildings and leisure centres with integrated solar passive heating and cooling.",,
